1 -- I've worked in design for:,2 --I primarily work in:,3 --I'm also good at:,4 --I am currently:,5 --My company specializes in:,6 --My company is:,7 --I teach:,8 --I'm not working because:,9 --My organization has:,10 --My immediate team is:,11 --My work touches these industries or sectors:,12 --I’ve been at my current place of work for:,13 --My role is:,14 --My role is:,15 --My role is:,16 --I've been in my current role for:,17 --I typically work:,18 --My annual salary is:,19 --My job provides:,"20 --In my current role, there is:","21 --In my current role, I am:",22 --My job is:,23 --My job stability is:,"24 --In addition to my job, I also:",25 --I fuel my daily creativity with coffee:,26 --Highest level of education I've completed:,27 --I learned design:,28 --My major focus of study was:,"29 --Over my career, I've had:",30 --I've shifted my specialty or focus area:,31 --I stay current with design by:,32 --I'm a member of:,33 --I'd like to get better at:,34 --I am:,"35 --Right now, I can't stop listening to:",36 --I live in:,37 --My age is:,38 --I am:,39 --I consider myself:,40 --My ethnicity is:,41 --The most critical issues and challenges currently facing design are (answer optional):,42 --The emerging trends and technologies that will have the biggest impact on design are (answer optional):,43 --The most valuable design skills for the future will be (answer optional):
5-9 years,Product Design|UI Design|UX Design|Web Design,Brainstorming and Ideation|Drawing or Painting|Project Management|Public Speaking|Relationship Management,Not working,,,,I was laid off,,,,,,,,,,,,,,,,,"No way, tea",Bachelor's degree,On my own|On the job|In school,Graphic Design,10+ design jobs,3-4 times,Discussing with peers|Following design feeds|Following social media|Reading online publications|Seeking online training,None of these,Coding|Data Analysis,Working hard to find my next job,secret agent radio,90403.0,35,Female,Prefer not to say,Prefer not to say,Consumer vs. social impact focus|Environmental impacts of design,Augmented Reality|Battery and energy technology|Image recognition|Networked device ubiquity|Virtual Reality,Adaptability to tech and social change|Algorithm and data model design|Cross-cultural skills|Data analysis|DIY or maker mentality
20+ years,Graphic Design,Writing,Self-employed or freelancing,Strategy,,,,11-50 employees,5-10 people,Financial Services|Marketing and Communications|Technology,10+ years,Owner/Partner,,,10+ years,41-50 hours per week,240000.0,None of these,Limited opportunity for advancement,Learning and increasing my skill set every day,The best,Fairly stable,Maintain personal projects,1-2 cups,Bachelor's degree,On my own|On the job,Journalism,1 design job,Always ready for what's next,Attending conferences|Reading books/magazines,AIGA,Diversity and Inclusion,Not interested in a new job right now,PFunk!,60640.0,43,Female,Not LGBTQ,White or Caucasian,Diversity in design and tech,AI and machine learning|Battery and energy technology|Conversational interfaces|Distributed teams and virtual workplace,Asking good questions|Cross-cultural skills|Empathy|Improvisation|Observation and listening|Play
20+ years,Communication Design|Education|Graphic Design|Interaction Design|Motion Graphics|Research|Strategy|Web Design,Brainstorming and Ideation|Business|Coding|Diversity and Inclusion|Drawing or Painting|Facilitation|Mentoring|Project Management|Writing,A full-time employee in-house,,,,,1000+ employees,20+ people,Advertising|Health Care,10+ years,,Other,,10+ years,41-50 hours per week,800000.0,Dental Insurance|Disability Insurance|Education Funding|Employer-matched Retirement|Life Insurance|Medical Insurance|Professional Development|Professional Memberships|Profit Sharing or Stock Options|Wellness Programs,Limited opportunity for advancement,Learning some new skills,Pretty good,Fairly stable,Own my own business|Take occasional freelance projects|Teach|Volunteer,1-2 cups,Master's degree,From a mentor or apprenticeship|From programs or workshops|On my own|On the job|Through online training|In school,Advertising|Art|Communication|Design and Technology|Digital Media|Graphic Design|Illustration|Marketing|Package Design|Printing or Print Making|Website Design,8-10 design jobs,1-2 times,Attending conferences|Discussing with peers|Following design feeds|Following social media|Reading books/magazines|Reading online publications|Seeking online training,AIGA,Business|Drawing or Painting|Relationship Management|Research|Strategy|Writing,"Open to opportunities, but not actively looking",Stuff,75082.0,57,Male,Not LGBTQ,Black or African American,"Consumer vs. social impact focus|Design not having a ""seat at the table""|Diversity in design and tech|Education cost and equity of access|Ethics in design|Generational differences in the workforce|Trademark and patent issues",3D printing|AI and machine learning|Augmented Reality|Behavior tracking and modeling|Crowdsourcing and open source|Democratization of design|Internet of Things|Miniaturization and nanotechnology|Quantum computing|Virtual Reality,Adaptability to tech and social change|Communication skills|Cross-cultural skills|Cross-functional skills|DIY or maker mentality|Empathy|Improvisation|Interpersonal skills|Managing complexity|Play|Psychology and human behavior|Storytelling
10-14 years,Experience Design|Front-end Development|Graphic Design|Marketing|Photography|Product Design|UI Design|UX Design|Web Design,Brainstorming and Ideation|Coding|Project Management|Writing,A full-time employee in-house,,Startup,,,501-1000 employees,2-4 people,Technology|Web Services,3-4 years,,Other,,3-4 years,41-50 hours per week,0.0,Dental Insurance|Disability Insurance|Employer-matched Retirement|Life Insurance|Medical Insurance|Paid Parental Leave|Paid Time Off|Professional Development|Profit Sharing or Stock Options,Limited opportunity for advancement,Learning and increasing my skill set every day,The best,Fairly stable,Volunteer,1-2 cups,Bachelor's degree,From a mentor or apprenticeship|From programs or workshops|On my own|On the job|Through online training|In school,Design and Technology|Digital Media|Graphic Design|Multimedia|Website Design,4-5 design jobs,Slowly over time,Attending conferences|Discussing with peers|Following design feeds|Following social media|Having a mentor|Reading books/magazines|Reading online publications|Seeking online training,None of these,Business|Diversity and Inclusion|Leadership|Photography|Product Design|Project Management|UI Design|UX Design|VR or AR Design|Web Design|Writing,Not interested in a new job right now,Witt Lowry,2723.0,31,Male,Not LGBTQ,White or Caucasian,Diversity in design and tech|Education cost and equity of access|Environmental impacts of design|Ethics in design,AI and machine learning|Algorithmic design|Augmented Reality|Behavior tracking and modeling|Biological or genetic design|Democratization of design|Distributed teams and virtual workplace|Facial and voice recognition|Human augmentation|Image recognition|Internet of Things|Miniaturization and nanotechnology|Quantum computing,Adaptability to tech and social change|Asking good questions|Communication skills|Cross-cultural skills|Cross-functional skills|Data analysis|DIY or maker mentality|Empathy|Interpersonal skills|Leadership
20+ years,Fashion Design|Graphic Design|Illustration|Interior Design|Packaging Design,Brainstorming and Ideation|Business|Drawing or Painting|Leadership|Public Speaking|Writing,Self-employed or freelancing,Branding|Digital|Print|Product Design|Strategy,,,,1-10 employees,2-4 people,Advertising|Alcohol or Tobacco|Apparel and Accessories|Architecture|Arts|Automotive|Consumer Products|Entertainment|Food and Beverage|Gaming|Hospitality|Media and Broadcasting|Music|Pharmaceutical|Publishing|Retail|Sports and Fitness|Technology|Travel and Tourism,8-10 years,Owner/Partner,,,8-10 years,60+ hours per week,500000.0,None of these,Promising opportunity for advancement,Learning and increasing my skill set every day,The best,Fairly stable,Maintain personal projects|Teach|Volunteer,Other,Bachelor's degree,On my own,Graphic Design|Illustration|Package Design,2-3 design jobs,Always ready for what's next,Discussing with peers|Following design feeds|Following social media|Reading online publications,ADC,Business|Leadership|Sales,"Open to opportunities, but not actively looking",Incendiary,10958.0,34,Male,Not LGBTQ,White or Caucasian,"Algorithm bias|Consumer vs. social impact focus|Design not having a ""seat at the table""|Education cost and equity of access|Environmental impacts of design|Ethics in design|Human-machine interface limitations",3D printing|AI and machine learning|Algorithmic design|Conversational interfaces|Distributed teams and virtual workplace|Image recognition|Internet of Things,Adaptability to tech and social change|Communication skills|Cross-functional skills|DIY or maker mentality|Improvisation|Interpersonal skills|Leadership|Observation and listening|Play
20+ years,Communication Design|Environmental Design|Graphic Design|Marketing|Strategy|UI Design,Business|Leadership|Mentoring|Project Management|Relationship Management,A full-time employee at an agency or consultancy,Branding,,,,251-500 employees,20+ people,Advertising|Banking|Consulting|Financial Services|Food and Beverage|Health Care|Hospitality|Insurance|Pharmaceutical|Technology|Telecommunications,1-2 years,Executive,,,3-4 years,51-60 hours per week,325000.0,Dental Insurance|Disability Insurance|Employer-matched Retirement|Life Insurance|Medical Insurance|Paid Time Off|Profit Sharing or Stock Options,Some opportunity for advancement,Learning some new skills,Not great,Fairly stable,None of these,1-2 cups,Bachelor's degree,On the job|In school,Graphic Design,6-7 design jobs,0 times,Attending conferences|Following design feeds|Following social media|Reading online publications,AIGA,Brainstorming and Ideation|Business|Motion Graphics|Public Speaking|UI Design|UX Design,"Open to opportunities, but not actively looking",the ringing in my ears,7040.0,45,Male,Not LGBTQ,White or Caucasian,"Advertising supported content model|Design not having a ""seat at the table""",AI and machine learning|Distributed teams and virtual workplace|Networked device ubiquity,Adaptability to tech and social change|Algorithm and data model design|Communication skills|Empathy
10-14 years,AI or Algorithm Design|Experience Design|Front-end Development|Graphic Design|Interaction Design|Product Design|Strategy|UI Design|UX Design|Web Design,Brainstorming and Ideation|Business,A full-time employee in-house,,For-Profit/Corporate,,,1000+ employees,11-20 people,Advertising|Apparel and Accessories|Architecture|Arts|Computers|Consumer Products|Entertainment|Government|Hospitality|Information Sciences|Marketing and Communications|Media and Broadcasting|Music|Publishing|Technology|Telecommunications|Travel and Tourism|Web Services,Less than 1 year,,Team Leader,,1-2 years,40 hours per week,220000.0,Commuting Benefits|Dental Insurance|Disability Insurance|Education Funding|Employer-matched Retirement|Fitness Benefits|Life Insurance|Medical Insurance|Paid Parental Leave|Paid Time Off|Professional Development|Professional Memberships|Profit Sharing or Stock Options|Wellness Programs,Promising opportunity for advancement,Learning some new skills,Pretty good,Rock solid,Design for friends and family|Maintain personal projects,3-4 cups,Bachelor's degree,In school,Graphic Design,6-7 design jobs,Slowly over time,Attending conferences|Discussing with peers|Reading books/magazines|Reading online publications,None of these,AI or Algorithm Design|Data Analysis|Engineering|Leadership|Public Speaking|Writing,Not interested in a new job right now,Music,11211.0,35,Male,Not LGBTQ,White or Caucasian,Advertising supported content model|Consumer vs. social impact focus|Generational differences in the workforce|Human-machine interface limitations|Software complexity,Algorithmic design|Facial and voice recognition,Adaptability to tech and social change|Empathy|Improvisation|Managing complexity|Systems thinking
20+ years,Communication Design|Photography,Brainstorming and Ideation|Business|Diversity and Inclusion|Facilitation|Leadership|Mentoring|Project Management|Public Speaking|Relationship Management|Sales|Writing,Not working,,,,I was laid off,,,,,,,,,,,,,,,,,5-6 cups,Master's degree,From a mentor or apprenticeship|From programs or workshops|On my own|On the job|In school,Illustration|Other,8-10 design jobs,Always ready for what's next,Discussing with peers|Following design feeds|Following social media|Reading books/magazines|Reading online publications|Seeking online training,AIGA,SEO/SEM|UX Design,Working hard to find my next job,Etienne Daho,53217.0,57,Male,LGBTQ,White or Caucasian,Advertising supported content model|Algorithm bias|Dark UX patterns|Generational differences in the workforce,Algorithmic design|Networked device ubiquity,Adaptability to tech and social change|Algorithm and data model design|Architecture and environmental design|Asking good questions|Communication skills|Cross-cultural skills|Cross-functional skills|Data analysis|DIY or maker mentality|Empathy|Facilitation|Improvisation|Leadership|Managing complexity|Observation and listening|Play|Psychology and human behavior|Risk tolerance|Scientific methods|Storytelling|Systems thinking
15-20 years,Graphic Design|Interaction Design|Product Design|UI Design|Web Design,Brainstorming and Ideation|Coding|Drawing or Painting|Project Management|Writing,Not working,,,,I was laid off,,,,,,,,,,,,,,,,,1-2 cups,Bachelor's degree,On my own|On the job|In school,Graphic Design,4-5 design jobs,1-2 times,Attending conferences|Following design feeds|Following social media,None of these,Animation|Product Design|Writing,Working hard to find my next job,acid,60612.0,37,Male,Not LGBTQ,White or Caucasian,"Design not having a ""seat at the table""|Ethics in design",Augmented Reality|Crowdsourcing and open source|Internet of Things,Communication skills|Managing complexity|Systems thinking
1-4 years,Marketing,Brainstorming and Ideation|Business|Social Media|Writing,Not working,,,,,,,,,,,,,,,,,,,,,1-2 cups,Master's degree,From programs or workshops|On my own|In school,Communication|Digital Media,1 design job,0 times,Discussing with peers|Following design feeds|Reading online publications,AIGA,Data Analysis|Drawing or Painting|Interaction Design|Photography|Project Management|SEO/SEM|Social Media|Writing,Working hard to find my next job,Taylor Swift's Reputation,91935.0,26,Female,Not LGBTQ,White or Caucasian,Diversity in design and tech|Education cost and equity of access|Trademark and patent issues,3D printing|AI and machine learning|Augmented Reality|Crowdsourcing and open source|Internet of Things|Virtual Reality,Adaptability to tech and social change|Communication skills|DIY or maker mentality|Play|Psychology and human behavior|Storytelling
