ZIP,POP,AREA_MILE,STATE,COUNTY,POP_DEN,Type
00601,17800,64.348,72,1,276.62087399763783,Rural
00602,39716,30.621,72,3,1297.018386074916,Suburban
00603,51565,31.616,72,5,1630.9779858299596,Suburban
00606,6320,42.309,72,93,149.37720106833063,Rural
00610,27976,35.913000000000004,72,3,778.9936791691031,Rural
00612,63884,67.593,72,13,945.1274540263045,Rural
00616,10321,11.53,72,13,895.1431049436254,Rural
00617,24648,15.195,72,17,1622.112537018756,Suburban
00622,7385,28.993000000000002,72,23,254.71665574449003,Rural
00623,42711,37.974000000000004,72,23,1124.7432453784168,Suburban
00624,23945,43.163999999999994,72,111,554.7446946529516,Rural
00627,33481,46.355,72,27,722.2737568762809,Rural
00631,1689,4.021,72,1,420.04476498383485,Rural
00637,24013,34.449,72,121,697.0594211733287,Rural
00638,17795,66.045,72,39,269.43750473162237,Rural
00641,28925,93.531,72,1,309.2557547764912,Rural
00646,38292,20.726999999999997,72,51,1847.445361123173,Suburban
00647,5711,15.205,72,55,375.60013153567905,Rural
00650,14569,30.522,72,13,477.32782910687376,Rural
00652,3893,6.917000000000001,72,13,562.8162498192858,Rural
00653,12125,15.242,72,55,795.4992783099331,Rural
00656,19996,32.415,72,59,616.8749035940151,Rural
00659,41327,41.782,72,65,989.1101431238333,Rural
00660,16678,11.345999999999998,72,67,1469.945355191257,Suburban
00662,41986,44.373999999999995,72,71,946.1847027538649,Rural
00664,15693,45.521,72,73,344.74198721469213,Rural
00667,24492,60.31399999999999,72,79,406.0748748217661,Rural
00669,27063,61.552,72,81,439.67702105536785,Rural
00670,9087,45.57,72,11,199.40750493745887,Rural
00674,41545,44.955,72,91,924.146368590813,Rural
00676,38488,50.437,72,3,763.0905882586197,Rural
00677,14755,14.339,72,3,1029.0117860380778,Suburban
00678,26490,26.361,72,71,1004.8935928075566,Suburban
00680,50628,64.212,72,11,788.4507568678752,Rural
00682,32433,14.402999999999999,72,97,2251.8225369714646,Suburban
00683,32058,52.188,72,125,614.2791446309496,Rural
